0.0374	574
0.0374	585
0.0374	601
0.0374	611
0.0374	635
0.0374	672
0.0374	674
0.0375	634
0.0375	668
0.0375	789
0.0375	945
0.0376	723
0.0376	782
0.0376	871
0.0376	899
0.0377	160
0.0377	321
0.0377	477
0.0377	759
0.0377	761
0.0377	769
0.0377	914
0.0377	932
0.0377	943
0.0378	229
0.0378	522
0.0378	665
0.0378	801
0.0379	141
0.0379	186
0.0379	222
0.0379	242
0.0379	312
0.0379	348
0.0379	381
0.0379	385
0.0379	547
0.0379	656
0.0379	689
0.0379	776
0.0379	826
0.0379	869
0.038	445
0.038	488
0.038	537
0.038	559
0.038	724
0.038	778
0.038	781
0.038	889
0.0381	236
0.0381	406
0.0381	510
0.0381	589
0.0381	831
0.0382	166
0.0382	271
0.0382	435
0.0382	437
0.0382	581
0.0382	618
0.0382	671
0.0382	746
0.0382	772
0.0382	817
0.0382	974
0.0383	212
0.0383	300
0.0383	353
0.0383	371
0.0383	605
0.0383	708
0.0383	777
0.0383	822
0.0383	857
0.0383	880
0.0384	258
0.0384	452
0.0384	505
0.0384	508
0.0384	530
0.0384	699
0.0384	884
0.0385	314
0.0385	621
0.0385	829
0.0385	915
0.0385	938
0.0386	274
0.0386	276
0.0386	340
0.0386	357
0.0386	380
0.0386	564
0.0386	652
0.0386	973
0.0387	287
0.0387	446
0.0387	471
0.0387	613
0.0387	645
0.0387	653
0.0387	702
0.0387	722
0.0387	793
0.0387	886
0.0388	120
0.0388	126
0.0388	434
0.0388	528
0.0388	615
0.0388	752
0.0388	803
0.0388	968
0.0389	490
0.0389	548
0.0389	641
0.0389	650
0.0389	737
0.0389	807
0.039	176
0.039	416
0.039	495
0.039	526
0.039	678
0.039	766
0.039	987
0.0391	260
0.0391	401
0.0391	604
0.0392	202
0.0392	567
0.0392	711
0.0392	912
0.0393	472
0.0393	750
0.0394	148
0.0394	608
0.0395	270
0.0395	427
0.0395	475
0.0395	502
0.0395	655
0.0395	658
0.0396	180
0.0396	328
0.0396	410
0.0396	461
0.0396	555
0.0396	631
0.0397	500
0.0397	893
0.0397	988
0.0398	457
0.0398	541
0.0398	695
0.0398	707
