0.0113	-0.0563814193	-0.0563814193	-0.0585578047	-0.0585578047	-0.0585578047	-0.0585578047	-0.0585578047	-0.0585578047
0.0114	-0.0563255139	-0.0563255139	-0.0585160144	-0.0585160144	-0.0585160144	-0.0585160144	-0.0585160144	-0.0585160144
0.0115	-0.0562698878	-0.0562698878	-0.0584744327	-0.0584744327	-0.0584744327	-0.0584744327	-0.0584744327	-0.0584744327
0.0116	-0.0562145375	-0.0562145375	-0.0584330596	-0.0584330596	-0.0584330596	-0.0584330596	-0.0584330596	-0.0584330596
0.0117	-0.0561594665	-0.0561594665	-0.0583918951	-0.0583918951	-0.0583918951	-0.0583918951	-0.0583918951	-0.0583918951
0.0118	-0.0561046675	-0.0561046675	-0.0583509356	-0.0583509356	-0.0583509356	-0.0583509356	-0.0583509356	-0.0583509356
0.0119	-0.0560501441	-0.0560501441	-0.0583101809	-0.0583101809	-0.0583101809	-0.0583101809	-0.0583101809	-0.0583101809
0.012	-0.0559958927	-0.0559958927	-0.0582696311	-0.0582696311	-0.0582696311	-0.0582696311	-0.0582696311	-0.0582696311
0.0121	-0.0559419133	-0.0559419133	-0.0582292825	-0.0582292825	-0.0582292825	-0.0582292825	-0.0582292825	-0.0582292825
0.0122	-0.055888202	-0.055888202	-0.058189135	-0.058189135	-0.058189135	-0.058189135	-0.058189135	-0.058189135
0.0123	-0.0558347628	-0.0558347628	-0.0581491888	-0.0581491888	-0.0581491888	-0.0581491888	-0.0581491888	-0.0581491888
0.0124	-0.055781588	-0.055781588	-0.0581094436	-0.0581094436	-0.0581094436	-0.0581094436	-0.0581094436	-0.0581094436
0.0125	-0.0557286814	-0.0557286814	-0.058069896	-0.058069896	-0.058069896	-0.058069896	-0.058069896	-0.058069896
0.0126	-0.0556760393	-0.0556760393	-0.0580305457	-0.0580305457	-0.0580305457	-0.0580305457	-0.0580305457	-0.0580305457
0.0127	-0.055623658	-0.055623658	-0.0579913929	-0.0579913929	-0.0579913929	-0.0579913929	-0.0579913929	-0.0579913929
0.0128	-0.0555715412	-0.0555715412	-0.0579524375	-0.0579524375	-0.0579524375	-0.0579524375	-0.0579524375	-0.0579524375
0.0129	-0.0555196851	-0.0555196851	-0.0579136759	-0.0579136759	-0.0579136759	-0.0579136759	-0.0579136759	-0.0579136759
0.013	-0.0554680862	-0.0554680862	-0.057875108	-0.057875108	-0.057875108	-0.057875108	-0.057875108	-0.057875108
0.0131	-0.0554167442	-0.0554167442	-0.0578367338	-0.0578367338	-0.0578367338	-0.0578367338	-0.0578367338	-0.0578367338
0.0132	-0.0553656593	-0.0553656593	-0.0577985495	-0.0577985495	-0.0577985495	-0.0577985495	-0.0577985495	-0.0577985495
0.0133	-0.0553148314	-0.0553148314	-0.0577605553	-0.0577605553	-0.0577605553	-0.0577605553	-0.0577605553	-0.0577605553
0.0134	-0.0552642569	-0.0552642569	-0.0577227511	-0.0577227511	-0.0577227511	-0.0577227511	-0.0577227511	-0.0577227511
0.0135	-0.0552139357	-0.0552139357	-0.0576851368	-0.0576851368	-0.0576851368	-0.0576851368	-0.0576851368	-0.0576851368
0.0136	-0.0551638678	-0.0551638678	-0.0576477125	-0.0576477125	-0.0576477125	-0.0576477125	-0.0576477125	-0.0576477125
0.0137	-0.0551140495	-0.0551140495	-0.0576104745	-0.0576104745	-0.0576104745	-0.0576104745	-0.0576104745	-0.0576104745
0.0138	-0.0550644808	-0.0550644808	-0.0575734228	-0.0575734228	-0.0575734228	-0.0575734228	-0.0575734228	-0.0575734228
0.0139	-0.0550151579	-0.0550151579	-0.0575365573	-0.0575365573	-0.0575365573	-0.0575365573	-0.0575365573	-0.0575365573
0.014	-0.0549660809	-0.0549660809	-0.0574998744	-0.0574998744	-0.0574998744	-0.0574998744	-0.0574998744	-0.0574998744
0.0141	-0.0549172498	-0.0549172498	-0.057463374	-0.057463374	-0.057463374	-0.057463374	-0.057463374	-0.057463374
0.0142	-0.0548686646	-0.0548686646	-0.0574270561	-0.0574270561	-0.0574270561	-0.0574270561	-0.0574270561	-0.0574270561
0.0143	-0.0548203215	-0.0548203215	-0.0573909208	-0.0573909208	-0.0573909208	-0.0573909208	-0.0573909208	-0.0573909208
0.0144	-0.0547722206	-0.0547722206	-0.057354968	-0.057354968	-0.057354968	-0.057354968	-0.057354968	-0.057354968
0.0145	-0.054724358	-0.054724358	-0.0573191941	-0.0573191941	-0.0573191941	-0.0573191941	-0.0573191941	-0.0573191941
0.0146	-0.0546767376	-0.0546767376	-0.0572835989	-0.0572835989	-0.0572835989	-0.0572835989	-0.0572835989	-0.0572835989
0.0147	-0.0546293557	-0.0546293557	-0.0572481826	-0.0572481826	-0.0572481826	-0.0572481826	-0.0572481826	-0.0572481826
0.0148	-0.0545822084	-0.0545822084	-0.0572129413	-0.0572129413	-0.0572129413	-0.0572129413	-0.0572129413	-0.0572129413
0.0149	-0.0545352958	-0.0545352958	-0.0571778752	-0.0571778752	-0.0571778752	-0.0571778752	-0.0571778752	-0.0571778752
0.015	-0.0544886179	-0.0544886179	-0.0571429841	-0.0571429841	-0.0571429841	-0.0571429841	-0.0571429841	-0.0571429841
0.0151	-0.0544421747	-0.0544421747	-0.0571082681	-0.0571082681	-0.0571082681	-0.0571082681	-0.0571082681	-0.0571082681
0.0152	-0.0543959625	-0.0543959625	-0.0570737273	-0.0570737273	-0.0570737273	-0.0570737273	-0.0570737273	-0.0570737273
0.0153	-0.0543499812	-0.0543499812	-0.0570393577	-0.0570393577	-0.0570393577	-0.0570393577	-0.0570393577	-0.0570393577
